IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,226 ms,8229 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,225 ms,8218 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,236 ms,8118 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,242 ms,8091 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,228 ms,8039 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,242 ms,8010 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,225 ms,7994 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,228 ms,7914 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,228 ms,7909 kB/s
159.65.165.75,8443,true,EWR,North America,Newark,254 ms,7899 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,226 ms,7800 kB/s
110.13.212.97,20880,true,ICN,Asia Pacific,Seoul,104 ms,7766 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,229 ms,7744 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,227 ms,7693 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,243 ms,7657 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,243 ms,7603 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,234 ms,7585 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,237 ms,7583 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,236 ms,7579 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,225 ms,7551 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,228 ms,7467 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,225 ms,7403 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,228 ms,7012 kB/s
218.54.200.63,30048,true,HKG,Asia Pacific,Hong Kong,112 ms,6983 kB/s
217.163.76.75,443,true,SJC,North America,San Jose,179 ms,6833 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,179 ms,6302 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,235 ms,6199 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,237 ms,6189 kB/s
218.54.154.5,11423,true,NRT,Asia Pacific,Tokyo,144 ms,6179 kB/s
38.59.238.175,34237,true,LHR,Europe,London,236 ms,6047 kB/s
180.70.218.108,10411,true,ICN,Asia Pacific,Seoul,98 ms,5995 kB/s
27.50.48.108,443,true,SJC,North America,San Jose,175 ms,5678 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,73 ms,5558 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,240 ms,5447 kB/s
110.11.25.32,10517,true,KIX,Asia Pacific,Osaka,118 ms,5275 kB/s
110.11.25.32,10488,true,KIX,Asia Pacific,Osaka,115 ms,5223 kB/s
185.212.63.200,443,true,LHR,Europe,London,197 ms,5147 kB/s
174.136.205.41,50008,true,SJC,North America,San Jose,170 ms,5137 kB/s
219.249.124.238,28350,true,KIX,Asia Pacific,Osaka,114 ms,5118 kB/s
175.121.23.104,38422,true,KIX,Asia Pacific,Osaka,105 ms,5089 kB/s
217.163.76.89,2053,true,SJC,North America,San Jose,178 ms,5074 kB/s
202.81.231.30,55576,true,HKG,Asia Pacific,Hong Kong,79 ms,4856 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,223 ms,4378 kB/s
58.238.88.129,38507,true,NRT,Asia Pacific,Tokyo,137 ms,4314 kB/s
14.54.63.38,50030,true,ICN,Asia Pacific,Seoul,118 ms,4109 kB/s
43.134.166.213,10444,true,SIN,Asia Pacific,Singapore,90 ms,3880 kB/s
185.212.62.119,443,true,LHR,Europe,London,211 ms,3660 kB/s
175.125.207.253,33060,true,HKG,Asia Pacific,Hong Kong,116 ms,3601 kB/s
138.197.131.113,2053,true,YYZ,North America,Toronto,244 ms,3229 kB/s
43.159.35.190,49142,true,SIN,Asia Pacific,Singapore,102 ms,2803 kB/s
58.238.88.129,10106,true,ICN,Asia Pacific,Seoul,89 ms,2767 kB/s
45.58.37.185,2053,true,YYZ,North America,Toronto,226 ms,2557 kB/s
193.203.203.102,8443,true,YYZ,North America,Toronto,275 ms,2459 kB/s
219.240.54.189,10434,true,HKG,Asia Pacific,Hong Kong,112 ms,2453 kB/s
118.216.16.203,10025,true,HKG,Asia Pacific,Hong Kong,118 ms,2445 kB/s
110.11.25.32,10602,true,KIX,Asia Pacific,Osaka,133 ms,2397 kB/s
8.222.153.11,2083,true,LAX,North America,Los Angeles,390 ms,2393 kB/s
185.114.72.67,443,true,MAD,Europe,Madrid,276 ms,2270 kB/s
124.111.188.119,19091,true,NRT,Asia Pacific,Tokyo,121 ms,2183 kB/s
159.89.112.72,8443,true,YYZ,North America,Toronto,253 ms,2030 kB/s
1.232.40.93,39460,true,LAX,North America,Los Angeles,215 ms,1786 kB/s
38.180.128.251,2053,true,SYD,Oceania,Sydney,315 ms,1427 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,223 ms,1365 kB/s
222.233.248.165,38344,true,NRT,Asia Pacific,Tokyo,107 ms,1359 kB/s
178.128.225.209,2053,true,YYZ,North America,Toronto,249 ms,1347 kB/s
154.197.121.254,8443,true,SJC,North America,San Jose,170 ms,1189 kB/s
51.195.165.203,443,true,LHR,Europe,London,240 ms,1038 kB/s
164.152.17.14,443,true,ORD,North America,Chicago,242 ms,838 kB/s
47.241.209.61,443,true,SIN,Asia Pacific,Singapore,89 ms,679 kB/s
43.154.196.20,65432,true,HKG,Asia Pacific,Hong Kong,67 ms,639 kB/s
103.137.63.37,46832,true,HKG,Asia Pacific,Hong Kong,120 ms,574 kB/s
211.75.74.232,4443,true,LAX,North America,Los Angeles,88 ms,413 kB/s
18.100.124.0,8443,true,MAD,Europe,Madrid,221 ms,290 kB/s
170.64.228.44,8443,true,SYD,Oceania,Sydney,344 ms,271 kB/s
211.246.192.9,10051,true,HKG,Asia Pacific,Hong Kong,321 ms,189 kB/s
124.50.116.202,36831,true,HKG,Asia Pacific,Hong Kong,316 ms,188 kB/s
170.64.161.80,8443,true,SYD,Oceania,Sydney,325 ms,183 kB/s
45.86.229.176,8443,true,MAD,Europe,Madrid,308 ms,145 kB/s
5.188.181.229,2053,true,MAD,Europe,Madrid,289 ms,83 kB/s
38.180.33.187,34237,true,MAD,Europe,Madrid,370 ms,34 kB/s
20.167.48.9,8443,true,SYD,Oceania,Sydney,187 ms,32 kB/s
129.151.152.254,443,true,AMS,Europe,Amsterdam,290 ms,21 kB/s
152.70.234.188,443,true,HKG,Asia Pacific,Hong Kong,79 ms,0 kB/s
130.162.140.215,443,true,LAX,North America,Los Angeles,77 ms,0 kB/s
